                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      490                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8779817266501949E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8779817266501949E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442551067822631E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442551067822631E+001                 -1.7442551067822631E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134123613793108E+000                  4.2123545320668416E+000                  2.4020057041392970E+000                  9.3508621468851982E-001                  0.0000000000000000E+000                  9.0654691841461048E+000                 -4.8531052594702473E+000                  5.7169609564537360E+000                  6.2190393773446573E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861527E-003                  9.3805276451495428E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                       5                                      492                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8733670653331694E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8733670653331694E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442550708780121E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442550708780121E+001                 -1.7442550708780121E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134941137849812E+000                  4.2126823824654887E+000                  2.4020061245272792E+000                  9.3508537391255520E-001                  0.0000000000000000E+000                  9.0654692721983121E+000                 -4.8531051910430509E+000                  5.7169609771025085E+000                  6.2190393770952446E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861527E-003                  9.3805276451495428E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      10                                      495                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8737479489711549E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8737479489711549E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442549602615919E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442549602615919E+001                 -1.7442549602615919E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134918925972435E+000                  4.2126729951031514E+000                  2.4020058732215865E+000                  9.3508587652394060E-001                  0.0000000000000000E+000                  9.0654695399810556E+000                 -4.8531049847356549E+000                  5.7169610409149474E+000                  6.2190393763184293E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861527E-003                  9.3805276451495445E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      15                                      492                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8745345059792111E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8745345059792111E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442546845054117E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442546845054117E+001                 -1.7442546845054117E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134676461907818E+000                  4.2125752206774587E+000                  2.4020054788216618E+000                  9.3508666532379037E-001                  0.0000000000000000E+000                  9.0654702073142683E+000                 -4.8531044707192548E+000                  5.7169612000057155E+000                  6.2190393743813499E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861514E-003                  9.3805276451495428E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      20                                      495                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8758140665256688E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8758140665256688E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442539999540852E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442539999540852E+001                 -1.7442539999540852E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134582271510549E+000                  4.2125364791422042E+000                  2.4020049461334891E+000                  9.3508773070013573E-001                  0.0000000000000000E+000                  9.0654718646481811E+000                 -4.8531031937808251E+000                  5.7169615949010044E+000                  6.2190393695743640E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861514E-003                  9.3805276451495445E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      25                                      492                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8771405619574902E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8771405619574902E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442522971306701E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442522971306701E+001                 -1.7442522971306701E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134533184150608E+000                  4.2125146215558020E+000                  2.4020038348122768E+000                  9.3508995334256018E-001                  0.0000000000000000E+000                  9.0654759875164235E+000                 -4.8531000170758380E+000                  5.7169625771901291E+000                  6.2190393576175695E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861501E-003                  9.3805276451495428E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      30                                      495                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8778795103700007E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8778795103700007E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442480601532765E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442480601532765E+001                 -1.7442480601532765E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134508270356585E+000                  4.2124994320118594E+000                  2.4020012227991097E+000                  9.3509517736889447E-001                  0.0000000000000000E+000                  9.0654862461504937E+000                 -4.8530921126682811E+000                  5.7169650213245555E+000                  6.2190393278668199E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861501E-003                  9.3805276451495445E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      35                                      492                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8781976502357417E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519249E-001                  4.8781976502357417E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442375172706384E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442375172706384E+001                 -1.7442375172706384E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134511903515651E+000                  4.2124882367391576E+000                  2.4019948985309454E+000                  9.3510782590522323E-001                  0.0000000000000000E+000                  9.0655117727755599E+000                 -4.8530724440713291E+000                  5.7169711030746493E+000                  6.2190392538381178E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861488E-003                  9.3805276451495428E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
                                      40                                      495                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.0000000000000000E+001                  3.4599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8785165761625657E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998283922519260E-001                  4.8785165761625657E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7442112849223822E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7442112849223822E+001                 -1.7442112849223822E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134533121224375E+000                  4.2124655532709179E+000                  2.4019793132550804E+000                  9.3513899645695331E-001                  0.0000000000000000E+000                  9.0655752878747968E+000                 -4.8530235045225201E+000                  5.7169862354325147E+000                  6.2190390696452447E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607861418E-003                  9.3805276451495445E-003                  3.4468833607861488E-003                  9.3805276451495445E-003                  1.4000000000000002E+001                  5.5994040472949722E+000                                        0                                        2 
